Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,8
design__inferred_latch__count,0
design__instance__count,1230
design__instance__area,11533.6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,14
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0005515224765986204
power__switching__total,0.00015861037536524236
power__leakage__total,1.4263488168353433E-8
power__total,0.000710147141944617
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.39522472524477364
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.8952246974891973
timing__hold__ws__corner:nom_tt_025C_1v80,0.3029359626671954
timing__setup__ws__corner:nom_tt_025C_1v80,14.3000477728981
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.302936
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,16.631475
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,8
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,14
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,0.9769332286318977
clock__skew__worst_setup__corner:nom_ss_100C_1v60,1.4769332841430505
timing__hold__ws__corner:nom_ss_100C_1v60,0.8125932379200238
timing__setup__ws__corner:nom_ss_100C_1v60,12.911140078064223
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.812593
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,13.745185
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,14
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.26107364231655145
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.6755624584290855
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11098799971000974
timing__setup__ws__corner:nom_ff_n40C_1v95,14.808300782518517
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.110988
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,17.802849
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,8
design__max_fanout_violation__count,14
design__max_cap_violation__count,0
clock__skew__worst_hold,0.994671706487222
clock__skew__worst_setup,0.6691971610708279
timing__hold__ws,0.10856021944224836
timing__setup__ws,12.876126307412548
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.108560
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,13.609270
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1230
design__instance__area__stdcell,11533.6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.699287
design__instance__utilization__stdcell,0.699287
design__instance__count__class:buffer,13
design__instance__count__class:inverter,18
design__instance__count__class:sequential_cell,197
design__instance__count__class:multi_input_combinational_cell,496
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,876
design__instance__count__class:tap_cell,225
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,19808.7
design__violations,0
design__instance__count__class:timing_repair_buffer,249
design__instance__count__class:clock_buffer,22
design__instance__count__class:clock_inverter,10
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,205
antenna__violating__nets,1
antenna__violating__pins,1
route__antenna_violation__count,1
antenna_diodes_count,0
route__net,1009
route__net__special,2
route__drc_errors__iter:1,422
route__wirelength__iter:1,23060
route__drc_errors__iter:2,232
route__wirelength__iter:2,22811
route__drc_errors__iter:3,146
route__wirelength__iter:3,22806
route__drc_errors__iter:4,1
route__wirelength__iter:4,22819
route__drc_errors__iter:5,0
route__wirelength__iter:5,22819
route__drc_errors,0
route__wirelength,22819
route__vias,6945
route__vias__singlecut,6945
route__vias__multicut,0
design__disconnected_pin__count,17
design__critical_disconnected_pin__count,0
route__wirelength__max,289.645
timing__unannotated_net__count__corner:nom_tt_025C_1v80,43
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,43
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,43
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,14
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,0.3860134265935503
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.8860133988379739
timing__hold__ws__corner:min_tt_025C_1v80,0.29899739086479604
timing__setup__ws__corner:min_tt_025C_1v80,14.3222247004868
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.298997
