Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,869
design__instance__area,9158.78
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00020465647685341537
power__switching__total,0.00014187944179866463
power__leakage__total,8.534613904487287E-9
power__total,0.00034654446062631905
clock__skew__worst_hold__corner:nom_tt_025C_1v80,4.139749105132461
clock__skew__worst_setup__corner:nom_tt_025C_1v80,4.659819773050423
timing__hold__ws__corner:nom_tt_025C_1v80,0.36625992164711807
timing__setup__ws__corner:nom_tt_025C_1v80,4.157693862431595
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.366260
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,7.574691
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,4.526953162686868
clock__skew__worst_setup__corner:nom_ss_100C_1v60,5.063761997486677
timing__hold__ws__corner:nom_ss_100C_1v60,0.9978533837211768
timing__setup__ws__corner:nom_ss_100C_1v60,2.8152485584031175
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.997853
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,5.109442
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,4.002179589903587
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,4.515707047218564
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1331921277635811
timing__setup__ws__corner:nom_ff_n40C_1v95,4.687597998001377
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.133192
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,8.413247
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,4.546168459251317
clock__skew__worst_setup,4.506653400241296
timing__hold__ws,0.12853629635583716
timing__setup__ws,2.7822411828582894
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.128536
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,5.082637
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,869
design__instance__area__stdcell,9158.78
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.555303
design__instance__utilization__stdcell,0.555303
design__instance__count__class:buffer,3
design__instance__count__class:inverter,8
design__instance__count__class:sequential_cell,170
design__instance__count__class:multi_input_combinational_cell,355
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,1007
design__instance__count__class:tap_cell,225
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,16527.8
design__violations,0
design__instance__count__class:timing_repair_buffer,91
design__instance__count__class:clock_buffer,6
design__instance__count__class:clock_inverter,11
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,12
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,659
route__net__special,2
route__drc_errors__iter:1,303
route__wirelength__iter:1,19698
route__drc_errors__iter:2,114
route__wirelength__iter:2,19635
route__drc_errors__iter:3,95
route__wirelength__iter:3,19577
route__drc_errors__iter:4,1
route__wirelength__iter:4,19545
route__drc_errors__iter:5,0
route__wirelength__iter:5,19547
route__drc_errors,0
route__wirelength,19547
route__vias,5029
route__vias__singlecut,5029
route__vias__multicut,0
design__disconnected_pin__count,16
design__critical_disconnected_pin__count,0
route__wirelength__max,223.84
timing__unannotated_net__count__corner:nom_tt_025C_1v80,41
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,41
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,41
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,4.126173297603395
clock__skew__worst_setup__corner:min_tt_025C_1v80,4.646360760986851
timing__hold__ws__corner:min_tt_025C_1v80,0.35934189974041875
timing__setup__ws__corner:min_tt_025C_1v80,4.181790143639549
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.359342
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
