Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,1
design__inferred_latch__count,0
design__instance__count,955
design__instance__area,7648.59
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,3
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00048651613178662956
power__switching__total,0.0003830411296803504
power__leakage__total,8.446867205691433E-9
power__total,0.0008695657015778124
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.6264795526333992
clock__skew__worst_setup__corner:nom_tt_025C_1v80,1.1264796081445518
timing__hold__ws__corner:nom_tt_025C_1v80,0.3124273150843009
timing__setup__ws__corner:nom_tt_025C_1v80,5.295960264672735
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.312427
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,8.481917
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,5
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,3
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,1.3379060460416163
clock__skew__worst_setup__corner:nom_ss_100C_1v60,1.8379061015527691
timing__hold__ws__corner:nom_ss_100C_1v60,0.899815802892775
timing__setup__ws__corner:nom_ss_100C_1v60,5.038313908685708
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.899816
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,7.140530
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,3
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,0.3395460397843991
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.8395460120288227
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11473344821181368
timing__setup__ws__corner:nom_ff_n40C_1v95,5.436250270478092
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.114733
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,8.969314
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,5
design__max_fanout_violation__count,3
design__max_cap_violation__count,0
clock__skew__worst_hold,1.3836716608570545
clock__skew__worst_setup,0.8226600744582194
timing__hold__ws,0.11217971313834633
timing__setup__ws,5.010739520687841
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.112180
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,7.114225
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,955
design__instance__area__stdcell,7648.59
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.463738
design__instance__utilization__stdcell,0.463738
design__instance__count__class:buffer,7
design__instance__count__class:inverter,29
design__instance__count__class:sequential_cell,102
design__instance__count__class:multi_input_combinational_cell,480
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,1131
design__instance__count__class:tap_cell,225
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,16193.3
design__violations,0
design__instance__count__class:timing_repair_buffer,87
design__instance__count__class:clock_buffer,9
design__instance__count__class:clock_inverter,16
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,37
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,742
route__net__special,2
route__drc_errors__iter:1,433
route__wirelength__iter:1,18246
route__drc_errors__iter:2,180
route__wirelength__iter:2,18051
route__drc_errors__iter:3,168
route__wirelength__iter:3,18093
route__drc_errors__iter:4,10
route__wirelength__iter:4,18070
route__drc_errors__iter:5,1
route__wirelength__iter:5,18063
route__drc_errors__iter:6,1
route__wirelength__iter:6,18062
route__drc_errors__iter:7,1
route__wirelength__iter:7,18063
route__drc_errors__iter:8,1
route__wirelength__iter:8,18062
route__drc_errors__iter:9,0
route__wirelength__iter:9,18062
route__drc_errors,0
route__wirelength,18062
route__vias,5457
route__vias__singlecut,5457
route__vias__multicut,0
design__disconnected_pin__count,7
design__critical_disconnected_pin__count,0
route__wirelength__max,182.03
timing__unannotated_net__count__corner:nom_tt_025C_1v80,30
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,30
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,30
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,3
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,0.6013283374776109
clock__skew__worst_setup__corner:min_tt_025C_1v80,1.1013283929887638
timing__hold__ws__corner:min_tt_025C_1v80,0.3086432863313001
timing__setup__ws__corner:min_tt_025C_1v80,5.316759183404297
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
