Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,4
design__inferred_latch__count,0
design__instance__count,1603
design__instance__area,12645.9
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,12
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0008564100717194378
power__switching__total,0.0005151990335434675
power__leakage__total,1.5636175021427334E-8
power__total,0.0013716246467083693
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.26168154495087764
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.26239630655434615
timing__hold__ws__corner:nom_tt_025C_1v80,0.32871795105226387
timing__setup__ws__corner:nom_tt_025C_1v80,10.667611096412992
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.328718
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,12.652095
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,12
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2680529485359433
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2690844567772956
timing__hold__ws__corner:nom_ss_100C_1v60,0.9028588132670323
timing__setup__ws__corner:nom_ss_100C_1v60,5.352920036517457
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.902859
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,5.352920
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,12
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25900382571762876
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2595800314837054
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1196556221306979
timing__setup__ws__corner:nom_ff_n40C_1v95,11.021661228979175
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.119656
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,15.383085
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,12
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2578131670011954
clock__skew__worst_setup,0.2584425246960792
timing__hold__ws,0.11605233769121788
timing__setup__ws,5.176415886892252
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.116052
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,5.176416
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,1603
design__instance__area__stdcell,12645.9
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.369165
design__instance__utilization__stdcell,0.369165
design__instance__count__class:buffer,10
design__instance__count__class:inverter,25
design__instance__count__class:sequential_cell,165
design__instance__count__class:multi_input_combinational_cell,726
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,2359
design__instance__count__class:tap_cell,456
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,24798.5
design__violations,0
design__instance__count__class:timing_repair_buffer,189
design__instance__count__class:clock_buffer,22
design__instance__count__class:clock_inverter,10
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,130
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1151
route__net__special,2
route__drc_errors__iter:1,786
route__wirelength__iter:1,29014
route__drc_errors__iter:2,433
route__wirelength__iter:2,28693
route__drc_errors__iter:3,261
route__wirelength__iter:3,28605
route__drc_errors__iter:4,42
route__wirelength__iter:4,28629
route__drc_errors__iter:5,35
route__wirelength__iter:5,28622
route__drc_errors__iter:6,0
route__wirelength__iter:6,28634
route__drc_errors,0
route__wirelength,28634
route__vias,8679
route__vias__singlecut,8679
route__vias__multicut,0
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,303.06
timing__unannotated_net__count__corner:nom_tt_025C_1v80,29
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,29
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,29
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,12
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2601642586113619
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.26092914678580986
timing__hold__ws__corner:min_tt_025C_1v80,0.3231405789968668
timing__setup__ws__corner:min_tt_025C_1v80,10.689513576862241
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
